strategy,symbol,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,data_points,composite_score
BOLLINGER,090460,3.3775870669513943,5.08183496270069,0.022745624970285053,100.0,5,81,77.08754949108676
MACD,139130,2.3271545750452205,4.514806694976239,0.0,100.0,3,81,71.56412208480424
BOLLINGER,192080,2.0809655540975975,4.499377083209322,0.0,100.0,4,81,71.32677997052294
BOLLINGER,004545,1.5411966782330653,4.343440053581129,0.035303406034515775,100.0,5,81,69.70743915352338
BOLLINGER,014530,1.8708472246696009,4.326323465897924,0.0,100.0,3,81,69.68525008294915
BOLLINGER,003547,2.069602110195381,4.198709308335104,0.022740504846099775,100.0,3,81,68.61622461909408
BOLLINGER,025000,1.6414617864741827,4.145622605646544,0.02282033246095702,100.0,3,81,67.96718816540857
BOLLINGER,339770,3.113284949575283,3.970636449796192,0.02262909335173035,100.0,4,81,66.98104202799584
BOLLINGER,016380,3.0993085005334695,3.9460162816363784,0.022600208561116584,100.0,4,81,66.7538699349408
BOLLINGER,003580,1.57151145986896,3.9911181446069732,0.022848595250207306,100.0,3,81,66.54866788541034
BOLLINGER,006400,4.108647930018604,3.8726695871393346,0.022452076120299206,100.0,4,81,66.49748545626146
BOLLINGER,023150,0.5470236195655773,3.9684402693933705,0.022915734465565718,100.0,3,81,65.93477187236657
BOLLINGER,084690,3.0182138753026257,3.60223060033672,0.022683272343876112,100.0,2,81,63.62736095315153
BOLLINGER,095570,1.932559748136159,3.6395799054136164,0.0,100.0,2,81,63.529243047977005
MACD,008260,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81,63.37897809459717
MACD,018670,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81,63.37897809459717
MACD,030720,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81,63.37897809459717
MACD,181710,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81,63.37897809459717
MACD,35320K,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81,63.37897809459717
MA,012510,1.5061600000000093,3.6418348993996856,0.0,100.0,2,81,63.37897809459717
MA,465770,1.5061599999999977,3.641834899399685,0.0,100.0,2,81,63.378978094597166
MACD,007700,1.4372160095865838,3.63806040678348,0.0,100.0,2,81,63.317430064885954
BOLLINGER,009155,1.9114806332475038,3.572203807301717,0.0,100.0,3,81,62.91442651901445
MACD,005945,1.5926314993481152,3.5832993242503086,0.022808510805553003,100.0,2,81,62.88674651799202
BOLLINGER,064960,2.91047737074031,3.5236645771132933,0.0,100.0,2,81,62.87717214231576
MACD,085620,1.5061600000000093,3.583398792144196,0.022828086248082934,100.0,2,81,62.85305312929777
MA,000120,1.5061599999999862,3.583398792144195,0.022828086248082937,100.0,2,81,62.85305312929775
RSI,003580,1.4982114285714343,3.5831571299253615,0.02265872337205939,100.0,3,81,62.847698740756826
BOLLINGER,072710,1.9896520726024172,3.541746081553664,0.022811312377428606,100.0,2,81,62.67157556302395
BOLLINGER,001685,1.1221653503671987,3.5635458251976795,0.022870628710349852,100.0,2,81,62.520778566926
BOLLINGER,010950,1.891487114624493,3.5261408407108767,0.022741113545453717,100.0,2,81,62.491862412247684
BOLLINGER,012800,1.8516579366654622,4.358160931386119,0.02270910691217898,75.0,4,81,62.46411155714125
MACD,025530,1.7440716991186607,3.528657546386212,0.022818961264542297,100.0,3,81,62.45554659712337
MA,004000,1.3339162892223801,3.5392247297107775,0.022867179125318667,100.0,2,81,62.38658908308595
BOLLINGER,058730,1.625259173553728,3.5257846272886977,0.022828086248082934,100.0,3,81,62.38216531501976
BOLLINGER,002140,1.2193107692307792,3.54201319609471,0.0,100.0,2,81,62.365843072544706
BOLLINGER,005880,2.502327999599348,4.912837883344224,0.022925656811571667,57.14285714285714,7,81,62.3593292927949
MA,004365,1.5061600000000093,3.5268887840174052,0.023,100.0,2,81,62.344463056156656
MACD,002450,1.4751916027088068,3.5257846272886977,0.022828086248082934,100.0,3,81,62.3221382866818
BOLLINGER,108675,0.31312596702990125,3.560849473612172,0.02298771466852961,100.0,3,81,62.172895649321504
BOLLINGER,029780,0.7508847853535321,3.5245608050954202,0.02290989332131302,100.0,2,81,62.021401160000195
BOLLINGER,014825,1.3739152754943584,3.4795804133072576,0.022804094885669545,100.0,3,81,61.86578982996306
BOLLINGER,037710,0.5054428742447752,3.506538024735651,0.0,100.0,2,81,61.76101937231877
BOLLINGER,024090,0.6884657820371678,3.4965310214084537,0.022926675708608523,100.0,2,81,61.744165505490955
BOLLINGER,092220,2.23940670454544,3.4228718951682495,0.022663151526766078,100.0,2,81,61.70160973833242
MACD,001940,2.282030207468872,3.4100453521867276,0.022653637167527836,100.0,2,81,61.603220252668095
BOLLINGER,002690,1.1560883757688105,3.440629557653968,0.02283005059743774,100.0,2,81,61.42810136919323
BOLLINGER,008420,2.034628142860916,4.019235342928584,0.022749409091611283,80.0,5,81,60.98696934350163
BOLLINGER,004270,1.006298256971268,3.3789180138446753,0.02291983312669289,100.0,2,81,60.81278142739059
BOLLINGER,078935,1.2908015329095068,3.359961681422721,0.022903020955003194,100.0,2,81,60.75597574596829
